title,releaseDate,actors,actresses,durtion,genres,imdbID,director
3 Idiots,2009/12/25,Aamir Khan|Madhavan|Sharman Joshi,Kareena Kapoor,170,Comedy|Drama,tt1187043,Rajkumar Hirani
Munna Bhai M.B.B.S.,2003/12/19,Sunil Dutt|Sanjay Dutt|Arshad Warsi,Gracy Singh,156,Comedy|Drama |Musical,tt0374887,Rajkumar Hirani
Sultan,2016/07/06,Salman Khan|Marko Zaror|Randeep Hooda,Anushka Sharma,170, Action|Drama|Family,tt4832640,Ali Abbas Zafar
Sholay,1975/08/15,Dharmendra|Sanjeev Kumar|Amitabh Bachchan,Hema Malini|Jaya Bachchan,162,Action|Adventure|Comedy,tt0073707,Ramesh Sippy
Bajirao Mastani,2015/12/18,Ranveer Singh,Priyanka Chopra|Deepika Padukone|Tanvi Azmi,158,Action| Drama|History,tt3735246,Sanjay Leela Bhansali
Bajrangi Bhaijaan,2015/07/17,Salman Khan|Nawazuddin Siddiqui|Om Puri,Kareena Kapoor Khan,163,Action|Adventure|Comedy,tt3863552, Kabir Khan
Prem Ratan Dhan Payo,2015/11/12,Salman Khan|Neil Nitin Mukesh|Deepak Dobriyal,Sonam Kapoor,164,Action| Drama|Musical,tt3595298,Sooraj R. Barjatya
Rang De Basanti,2006/01/26,Aamir Khan|Siddharth|Sharman Joshi|Kunal Kapoor,,157,Comedy|Drama,tt0405508,Rakeysh Omprakash Mehra
Lagaan: Once Upon a Time in India,2002/05/08,Aamir Khan|Paul Blackthorne,Gracy Singh|Rachel Shelley,224,Adventure|Drama|Musical,tt0169102,Ashutosh Gowariker
Dil Chahta Hai,2001/07/24,Aamir Khan|Saif Ali Khan|Akshaye Khanna,Preity Zinta,183,Comedy|Drama|Romance,tt0292490,Farhan Akhtar
Sarfarosh,1999/04/30,Naseeruddin Shah|aamir khan |Mukesh Rishi,Sonali Bendre,174,Action|Adventure|Drama,tt0200087,John Mathew Matthan



